n_cores,runtime_seconds,speedup,efficiency_percent
1,7.740524768829346,1.0,100.0
2,5.0265854597091675,1.5399170731053688,76.99585365526845
4,3.229751467704773,2.39663170563714,59.9157926409285
6,3.334809422492981,2.3211295723888217,38.68549287314703
8,2.2097179889678955,3.5029468952482725,43.78683619060341
